company,website,city,state,bucket,band,priority,batch,rank,verification,scope,model,size,li_headcount,founded_inven,ownership_inven,dq_gate,verdict_reason,founded_verified,owner_verified,ownership_verified,confidence,source_list,inven_id,list_stage_note
R&D Electric,http://rdelectricinc.com,Miami,,S8,2 Secondary,P3,Batch 2,280.0,Verified,Strong,Strong,Unknown,,,Private,,"lowered from P2 to P3 — no gate fired and the trade is right, but the company's own materials produced no maintenance-contract evidence, no named customer, no IMSA, no owner and no size data of any kind. Ordinary once its own site is read.","2004 — ""Established in 2004 R&D Electric is an electrical contractor specializing in the installation, maintenance and repair of street lighting."" 22 years, 10+ confirmed. NOTE an internal contradiction on the company's own site: a service ","[unknown] — no owner, president or principal is named. The site's own ""Our team"" section is explicitly marked under construction.","independent private, INFERRED from the absence of any parent, affiliate, investor or family-of-companies reference on the site or in search.",Low,S1-S6 relevant (S4),14587774.0,"""Installation, maintenance, and repair of street lighting and traffic signalization"" for governmental agencies plus ""emergency response""; ""over 12 years"", no he"
White Lightning Protection,http://whitelightningprotection.com,Tampa,,S10,2 Secondary,P3,Batch 2,281.0,Verified,Strong,Strong,Unknown,,,Private,,"lowered - from P2 to P3: not a gate failure and the inspection-and-maintenance service list is directionally on-thesis, but nothing about scope depth, size, age or ownership could be verified from any primary source, and the company's own s",[unknown],"[unknown] - no owner, principal, leadership or team named on the site","[unknown] - presumed independent private (White Lightning, LLC) but not evidenced. No parent, portfolio, backed-by or family-of-companies language found; the domain does not redirect.",Low,S1-S6 relevant (S6),31870175.0,"'Inspection, consultation, installation, repair, and maintenance' of lightning protection for 'businesses and organizations,' no residential — the recurring-ins"
Holland Industrial,http://hollandindustrial.com,Henderson,,S7,2 Secondary,P3,Batch 2,282.0,Verified,Strong,Mixed,Mixed,20.0,1952.0,Private,,"lowered (was P2) — the right secondary-band trade with real EASA-accredited field and predictive services, but the company states it is employee-owned, which removes the single-owner succession path this search depends on, and the large dis",1952,"Butch Holland, Chairman/Director (https://hollandindustrial.com/staff/). Kristy Holland also listed as Shop Coordinator/Sales. No president or CEO is published.","EMPLOYEE-OWNED — ""Holland Industrial is an 'Employee-Owned Company.'"" stated on https://hollandindustrial.com/. Independent, no parent and no sponsor; but employee ownership is a material structural complication for an owner-operator purcha",Medium,S1/S2 (new 14 Aug),185932.0,"""Repair and maintenance of electric motors, gearboxes, and pumps"" for ""industries and municipalities"", in-house and on-site, since 1952; 20 employees."
Lightning Master Corporation,http://lightningmaster.com,Clearwater,,S10,2 Secondary,P3,Batch 2,283.0,Verified,Strong,Mixed,Mixed,30.0,,Family Owned,,"LOWERED from P2 — the equipment-manufacturer gate is at material risk on confirmed facts from their own site: a machine shop acquired in 2022, a Machine Shop Manager on a five-person leadership team, eight product categories, founder-held p","1987 — CONFIRMED on their own team page: 'Bruce founded Lightning Master Corporation in 1987, concentrating on solving lightning protection challenges in the broadcast industry.' Inven had no year. Site elsewhere says 'nearly 40 years' and ","Bruce Kaiser, Founder, Chairman and CEO — 39 years in the chair. Lindsey Coghlan, Chief Operating Officer (joined 2014 as a Sales and Marketing Specialist, Sales Manager 2017, COO 2020). Also named: Danh Tran, Machine Shop Manager; Gregg Th","independent private, founder-controlled — no parent or holding company is named anywhere. STRUCTURAL CHECK RESULT: the site DOES have an affiliated-companies page (https://lightningmaster.com/contact-information/affiliated-companies/) listi",Medium,FromPete,86326.0,"Lightning protection with ""risk assessment, installation, and maintenance"" for industrial/commercial, family owned, 30 staff — but it ""also manufactures various"
"Msl Electric, INC.",http://mslelectric.com,Anaheim,,S8,2 Secondary,P3,Batch 2,284.0,Verified,Strong,Mixed,Mixed,25.0,,Family Owned,,"confirmed at P3, now on evidence rather than assumption - the list screen's open question was 'whether any signal maintenance contracts are held', and their own project list answers it: none. Founding year (2002), owner names and a company-","2002 - CONFIRMED from their own site (https://www.mslelectric.com/). The input record carried no founded year; this fills the gap. 24 years old, clears the 10-year preference comfortably.","Warren and Sally Moore, founders - named on their own site (https://www.mslelectric.com/). A husband-and-wife founding pair still identified with the business at 24 years supports the family-owned classification on the input record.","family owned, independent - founders named on their own site; no parent, sponsor, 'portfolio company of' or family-of-companies language anywhere. NOTE: union shop, ""signatory to the following unions: Electrical (IBEW), Operators, and Labor",High,S1-S6 relevant (S4),22067348.0,"ITS, traffic signals and street lighting direct to ""municipalities and state agencies""; 25 employees, family owned, but ""installations"" framing only and age unk"
Thorne Electric Inc.,http://thorneelectricinc.com,Carol Stream,,S8,2 Secondary,P3,Batch 2,285.0,Verified,Strong,Mixed,Mixed,14.0,1951.0,Family Owned,,"lowered from P2 — reading its own materials plus the IDOT letting record shows a competitively bid capital-project model (high bidder in a six-bidder field), disclosed general contractor and private developer work, no maintenance contract e",1951 — CONFIRMED from company materials,"William Thorne — founder (1951). No current owner, president or leadership named anywhere on the site; given the 1951 founding the founder is not plausibly the present-day operator, and the current principal is [unknown].","independent private, family owned (Inven field says Family Owned; the site's founder narrative is consistent with it, but the company does not state current ownership). No parent, sponsor or holding company found.",Medium,S1-S6 relevant (S4),25326483.0,"Street lighting, traffic signals and outdoor lighting for municipalities since 1951, family owned; 'competitive pricing' hints bid work, no maintenance language"
"Utility Construction Company, Inc.",http://utilityconstructionco.com,Mesa,,S8,2 Secondary,P3,Batch 2,286.0,Verified,Mixed,Mixed,Strong,30.0,,Family Owned,,"lowered from P2 — 34 years and independent ownership hold up, but the company describes itself as having evolved into 'a full service general contractor... across all trades', and the observable work is underground wet-utility civil constru",1992,"Suzette Nickum, President (https://www.zoominfo.com/c/utility-construction-company-inc/151453800, LOW CONFIDENCE — and note that this ZoomInfo record has a serious data-quality defect, see below). Not corroborated elsewhere. BuildZoom lists","independent private — 'Family Owned' per the supplied Inven record. No parent, sponsor or affiliate found on any source.",Medium,S1-S6 relevant (S4),3719579.0,"'Low to medium voltage' street lighting with 'infrastructure and maintenance services' direct to federal agencies and municipalities, 30 heads, family owned; 'g"
Pwr,http://pwrllc.com,Syracuse,,S7,2 Secondary,P3,Batch 2,287.0,Verified,Mixed,Mixed,Strong,85.0,,Private,,"confirmed — stays at P3. Generator and DC-power maintenance sits in the secondary band, so scope is not off-thesis outright, but the paying environment is telecom sites and towers rather than industrial or utility electricity networks, the ",[unknown],"Rod Law, President (per the input record and aggregator listings only — LOW CONFIDENCE, not corroborated by any primary source, and the company website is down so it cannot be checked).","[unknown] — input record says 'Private' from Inven; no primary source available to confirm, and no parent or sponsor surfaced in search.",Low,FromPete,10196673.0,"""Telecommunications and power solutions"" selling ""generators, batteries, and maintenance services""; product-weighted with telecom dilution, 85 staff."
Sievert Electric,http://sievertelectric.com,Forest Park,Illinois,T5,1 Core,P3,Batch 2,288.0,Verified,Mixed,Mixed,Strong,50.0,1913.0,Family Owned,,"confirmed - the maintenance service lines are genuine (switchgear maintenance, thermographic scanning, arc flash analysis, yearly inspections, 24/7 emergency) but they are aimed at commercial buildings with no MV or substation content, and ",1913,"Sievert family, fourth generation. C. A. Sievert founded it in 1913; Paul Sievert (son) took over day-to-day operations in the late 1930s; Pete Sievert (grandson) joined in 1971 and led the move into electrical construction; Scott Sievert (","independent, family owned, fourth generation; also described as Service-Disabled Veteran-Owned",Medium,ElecInfra + FromPete,2874411.0,"""Commercial electrical construction and maintenance services,"" system design and energy-efficient upgrades, family owned since 1913; 50 employees in box but con"
"Swain Electric, Inc",http://swainelectric.com,Gilbert,Arizona,T4,1 Core,P3,Batch 2,289.0,Verified,Mixed,Mixed,Mixed,24.0,1987.0,Family Owned,,"LOWERED from P2 — three confirmed facts from their own site, not unknowns: a published client list dominated by general contractors and mechanical primes (DPR, Sundt, Kitchell, Haydon, FCI, plus six mechanical contractors), a maintenance pa","1986 — CONFIRMED on their own About page: 'David Swain literally built his future from the ground up, starting the company within the four walls of his home in 1986.' NOTE: this CONTRADICTS Inven's 1987. The site wins: 1986. 40 years old.","Steve Swain, President; Brian Swain, Vice President. Founded by David Swain in 1986 — second-generation family ownership, confirmed from their own About page.","family owned, independent private, second generation — no parent, affiliate or family-of-companies language anywhere on the site",Medium,ElecInfra + FromPete,1242626.0,"""Design, maintenance, and energy management"" for ""industrial and commercial"" clients including ""schools and power plants""; family owned 1987, 24 employees."
Tiger Electric,http://tigerelectric.com,Anaheim,,T5,1 Core,P3,Batch 2,290.0,Verified,Mixed,Mixed,Strong,56.0,1989.0,Family Owned,,"lowered from P2 to P3 — a 40-year-old family-owned industrial and commercial electrical contractor has repointed its entire public identity to EV charger installation, which is new capital work; the maintenance plans are real but unquantifi","[unknown] as a stated year — the site gives only ""over 40 years of experience"" in southern California, implying roughly 1985 or earlier. Broadly consistent with founded_inven 1989, and comfortably past the 10-year bar either way. Per the th","[unknown] by name. The company states it is ""Still family-owned, employee-operated"" but names no owner, president or principal anywhere on the site.","independent private, family owned — ""Still family-owned, employee-operated"" on the company's own About page. No parent, sponsor or investor found.",Medium,S1-S6 relevant (S5),3671935.0,"Anaheim contractor framed as ""EV charging service provider"" doing ""installation and maintenance"" for businesses; 56 employees, family owned, founded 1989 (compa"
"Volt Electric, Inc.",http://voltelectricinc.com,Big Rock,Illinois,T5,1 Core,P3,Batch 2,291.0,Verified,Mixed,Mixed,Strong,22.0,2008.0,Family Owned,,"confirmed — right trade adjacency and family ownership confirmed, but the services list has no MV or switchgear scope, leans on low-voltage/fire alarm/CCTV and controls, includes build-outs and design-build, and shows no maintenance-contrac","2008 — CONFIRMS founded_inven 2008. 18 years, clears the 10-year preference.","Luisa Bronski, President (https://voltelectricinc.com/contact-contact-team-leaders-connect/). Family business: Ken Bronski is Lead Estimator and Kyle Bronski is a field electrician on the same page.","family owned, independent — 'We are a proud family owned corporation' (https://voltelectricinc.com/about-us/); certified Women's Business Enterprise (WBE), consistent with Luisa Bronski holding the ownership",Medium,ElecInfra + FromPete,3047354.0,"Commercial, industrial and municipal power distribution, generator installation, solar and emergency services; founded 2008, 22 staff, family owned, install-led"
Florida Sol System,http://floridasol.net,Miami,Florida,T3,1 Core,P3,Batch 2,292.0,Verified,Strong,Mixed,Weak,11.0,1989.0,Private,,"confirmed — the asset list (transmission, distribution, substations) plus traffic signalisation and roadway lighting is right across core and secondary bands, but the site carries no maintenance contract, no municipal contract, no emergency","[unknown] as a specific year from the company's own materials — the site says only ""over 30 years of experience servicing the power, telecommunications, natural gas, water, and sewer industries"" (https://floridasol.net/ and https://floridas","""Sira"" — founder, given by first name only on https://floridasol.net/our-hitory/ , which describes her establishing utility infrastructure companies in NYC and Miami and co-founding ""La Gran Parada Cubana"" in New York City with Alfredo Izag","independent private (INFERRED: no parent, affiliate, family-of-companies or investor language on any page of floridasol.net; own email domain; no cross-host redirect). Inven says Private. Founder-led is implied by the history page but not c",Low,ElecInfra,28345446.0,"'Utility infrastructure contractor' doing electrical and underground work for municipalities since 1989; installation-led across power, telecom and gas; 11 empl"
Aztec Powerline Services,http://aztecpowerline.com,Wauchula,,T3,1 Core,P3,Batch 2,293.0,Verified,Strong,Mixed,Unknown,,,Private,,"lowered from P2 — the assets are right (transmission, distribution, substation) and it is comfortably big enough, but two facts sink the priority: it is only 5-6 years old (incorporated August 2020, own site says founded 2021), and its own ","2020 or 2021 — either way, 5-6 years old","Thomas Trevino, President — named as the sole active officer on the Florida corporate filing (https://bisprofiles.com/fl/aztec-powerline-services-p20000068270). Registered agent: Steven Southwell, Wauchula FL. The company's own MEET THE TEA","independent private, minority-owned — 'Minority-owned business' per their own page (https://www.aztecpowerline.com/copy-of-our-company). Sole officer Thomas Trevino on the state filing. No PE sponsor and no parent found. STRUCTURAL NOTE, no",Medium,S1-S6 relevant (S2),42663465.0,"""Transmission and distribution line construction, substation services, and maintenance"" for utility companies and energy-sector organizations; no headcount or f"
Liberty Line Builders,http://libertylinebuilders.com,Montezuma,,T3,1 Core,P3,Batch 2,294.0,Verified,Strong,Mixed,Unknown,,,Private,,"confirmed — right trade (overhead/underground distribution and sub-transmission for utilities) but their own site carries no contract-maintenance evidence, names no customers, and the company is only 8 years old (2018), which is the sub-10-",2018,"Angel Teumer, President; Jude Teumer, General Foreman/Project Manager — both named on https://www.libertylinebuilders.com/contact, which states ""With 30+ years of experience, these two have"" the background to complete projects safely","independent private, woman owned — own site: ""Liberty Line Builders is woman owned member of the IBEW Union"" (https://libertylinebuilders.com). Inven also listed Private. IBEW signatory is NEUTRAL, not a screen-out.",Medium,S1-S6 relevant (S2),48251643.0,"'Overhead and underground distribution, sub-transmission, and emergency storm restoration' for utility companies and municipalities, 'established in 2018'; no h"
Midwest Power Line,http://midwestpowerline.us,Battle Creek,,T3,1 Core,P3,Batch 2,295.0,Verified,Strong,Mixed,Unknown,,,Private,,"lowered (from P2) - their own site shows a storm-restoration-led, event-driven book with ""New Construction"" and ""Residential & Commercial"" among the named lines, no utility customers named and no MSA language, and neither headcount nor foun","2005 - business start date of March 1, 2005 and ""Years in Business: 21"" per BBB (https://www.bbb.org/us/mi/battle-creek/profile/utility-contractors/midwest-power-line-inc-0372-38133234), an AGGREGATOR and therefore LOW CONFIDENCE. No foundi","Louis Monaweck, President - per BBB (aggregator, low confidence). Corroborated structurally by the contact email on the company's own site, cmonaweck@midwestpowerline.us (https://midwestpowerline.us), a second Monaweck, which supports a fam","independent private, family-run - INFERRED from the Monaweck surname appearing as both BBB principal and site contact email. No parent, sponsor or portfolio language found on the site or in search.",Low,S1-S6 relevant (S2),49097007.0,"""Storm restoration... and infrastructure maintenance"" for ""utility providers and municipalities"" with rapid emergency response; ""renewable energy solutions"" als"
Shawn Jamison Koranda,http://legacypowerline.com,Wadena,Minnesota,T3,1 Core,P3,Batch 2,296.0,Verified,Strong,Mixed,Unknown,,,Private,,"lowered (was P2) — the trade and customer set genuinely fit (cooperatives and municipals direct, substation maintenance, storm restoration, 18 years), but two long-time employees bought the business in 2023, which removes the succession mot",2008,"Bill Roggenkamp and Ethan Loock, current owners — ""long-time employees Bill Roggenkamp and Ethan Loock purchased the business from him"" in 2023 (https://legacypowerline.com/who-we-are/). Jim Koranda founded and ran the business 2008-2023. ""","independent private, but OWNERSHIP CHANGED HANDS IN 2023 via an internal purchase by two long-time employees. No PE, sponsor or consolidator involved.",Medium,ElecInfra,2434422.0,"Legacy Power Line: ""overhead installation, maintenance, and storm restoration"" direct to rural electric cooperatives and municipal utilities across the Midwest."
"American Electric Construction Company, LLC",http://aecco.net,Schaumburg,,T5,1 Core,P3,Batch 2,297.0,Verified,Mixed,Mixed,Strong,40.0,,Family Owned,,"confirmed - stays P3, but for a different reason than the list screen: the model could not be evidenced from its own materials at all, and the only firmographic signal available (large-project commercial construction on a GC platform) point",1999 (LOW CONFIDENCE - aggregator only),"John Tompkins, Owner - LOW CONFIDENCE, BBB profile only (https://www.bbb.org/us/il/schaumburg/profile/commercial-electrician/american-electric-construction-0654-88404953). Not corroborated by any company-controlled source.","independent private (INFERRED - no parent, portfolio or acquisition reference found in any retrieved source; Inven field says 'Family Owned', unverified)",Low,FromPete,15354511.0,"""Design, installation, and maintenance"" for education, healthcare and commercial sectors; 40 staff, family owned, but construction-led with no MV signal."
Brite Electric,http://brite.group,Norfolk,Virginia,T5,1 Core,P3,Batch 2,298.0,Verified,Mixed,Mixed,Strong,31.0,2011.0,Private,,"confirmed at P3 but on far worse evidence than the list screen assumed — the client roster is a list of general contractors and there is no service or maintenance base on the site at all; a single fact would move it to DQ, namely confirmati","[unknown] — the homepage references roughly 27 years in operation, implying about 1999. This CONTRADICTS the Inven year of 2011; per the brief the site wins, but no explicit 'since 19xx' statement is published on the About, Team or Projects","David Walsh Sr., President — https://brite.group/team/ (also Ben Sylvia, Director of Project Management; Jamie Hilliard, Director of Operations and Master Electrician). 'Sr.' suggests a family business but no second-generation or ownership ","independent private — no parent, PE, portfolio or family-of-companies language found anywhere on the site. Despite the domain, 'brite.group' is branding, not a holding structure: the site presents a single operating electrical contractor wi",Medium,ElecInfra,3234916.0,"""Installation and service"" for ""healthcare, education, and defense"" projects with ""design development, expedited delivery""; founded 2011, 31 employees; construc"
Capital City Electric,http://capcityelectric.com,New Albany,Ohio,T5,1 Core,P3,Batch 2,299.0,Verified,Mixed,Mixed,Strong,30.0,2005.0,Private,,"confirmed — the written ""Service and Maintenance Contracts"" line is a genuine positive the list screen could not see, but the business is preconstruction- and bid-construction-led, the showcased work is public construction, and the size rea",[unknown],"Eric Baker, President (""15-years industry experience""); Jamon Paszke, Vice President (""15-years industry experience"") — https://www.capcityelectric.com/team. Equity ownership is not stated.","independent private (INFERRED — no parent, investor, sponsor or affiliate language on the site; the ""/contact-harris"" link found in the homepage markup resolves to a 404, so it is a dead link and not an affiliate page)",Medium,ElecInfra + FromPete,12457300.0,"""Preconstruction, maintenance, and installation"" for healthcare and education in Central Ohio, founded 2005, 30 employees; construction-led ordinary contractor."
"Central Florida Electric of Ocala, LLC",http://cfeocala.com,Ocala,Florida,T5,1 Core,P3,Batch 2,300.0,Verified,Mixed,Mixed,Strong,31.0,1990.0,Private,,"confirmed, and it is now a borderline DQ rather than a comfortable P3 — 36 years and confirmed family ownership are real, but the published project book is chain retail, restaurant and hotel new construction, the government scopes are descr",1990,"Mark Schlichter, President — described on https://www.cfeocala.com/our-team as having ""45 years experience in the construction industry moving from management to ownership"", which identifies him as the owner. Jane Schlichter, VP Finance. Ty","family owned, independent private (CONFIRMED: three Schlichters in leadership including the President identified as having moved ""to ownership"", plus VP Finance; no parent, affiliate or investor language on the site). Inven says Private.",Medium,ElecInfra,12470888.0,"""Electrical engineering, construction, and maintenance"" for healthcare, government and hospitality since 1990; 31 employees in box but no MV, testing or service"
Dausin Electric Co,http://dausinelectric.com,San Antonio,,T5,1 Core,P3,Batch 2,301.0,Verified,Mixed,Mixed,Strong,31.0,,Family Owned,,"confirmed — 150+ employees, 1985 founding, two-generation family ownership and direct HEB/Sysco accounts are all real positives, but an active homeowner-facing residential division sits on the exclusion list, there is no MV/switchgear/testi",1985 — CONFIRMED from own materials (founded_inven was null; the Inven summary's 1985 is corroborated),"Ronnie Dausin, President; Kyle Dausin, Project Manager (https://www.dausinelectric.com/company/team). Founders were Ronald and Irene Dausin (https://www.dausinelectric.com/company/about) — so at least two Dausin generations are in the busin","family owned, independent — 'Family owned and operated' stated on their own About page; no parent, affiliate or investor language",Medium,FromPete,957612.0,"""Installation, maintenance, and emergency repairs for commercial, residential, and utility clients"" since 1985; 31 employees in box but residential presence is "
"Mayers Electric Co., Inc.",http://mayerselectric.com,Cincinnati,Ohio,T5,1 Core,P3,Batch 2,302.0,Verified,Mixed,Mixed,Strong,50.0,1946.0,Private,,"confirmed — right trade, genuine 24/7 service vans and a preventive-maintenance/thermal-imaging line, but the site is led by design/build and new construction with fire alarm, communications and residential attached, and there is no MV, swi",1948,"[unknown] by name. INFERRED family continuity only: the contact email on the company's second domain is hmayers@mayerselectric.com (https://mayerselectriccompany.com/), i.e. a Mayers is still the point of contact. No leadership page or name","independent private / family owned — 'Family-owned' appears in the site meta description (https://www.mayerselectric.com/aboutus/); no parent, affiliate or family-of-companies language on either domain",Medium,ElecInfra + FromPete,12814534.0,"1946 Cincinnati contractor, 50 staff, ""installation, maintenance, and emergency repairs"" for commercial and industrial; ordinary C&I language, no MV or testing "
Mercier Electric Co. Inc.,http://mercierelectric.net,Auburn,,T5,1 Core,P3,Batch 2,303.0,Verified,Mixed,Mixed,Strong,30.0,,Family Owned,,"confirmed at P3 — real 24/7 service department with two Service Managers holds it above Nurture, but a GC named on 8 of 8 completed projects and fit-out/fire-alarm/lighting work types with zero MV scope keep it well short of P2","1984 (founded May 1984, incorporated 1985)","Richard W. Mercier, President and founder (https://www.mercierelectric.net/about-us). Patricia Mercier listed as ""Owner, Mercier Electric Co Inc."" on LinkedIn (https://www.linkedin.com/in/patricia-mercier-57386034/) — LinkedIn self-reported","independent private / family owned — founder still President after 42 years, second family member listed as Owner; no parent, no affiliates page, own email domain",High,FromPete,8114929.0,"Electrical design and installation for commercial and industrial clients with maintenance and emergency support, nearly 40 years; install-led, 30 staff, no MV s"
Mon Valley Integration,http://monvalleyintegration.com,Morgantown,West Virginia,T4,1 Core,P3,Batch 2,304.0,Verified,Mixed,Mixed,Mixed,28.0,2002.0,Private,,"confirmed — right assets (substation, overhead line, MV, mines) and direct owner relationships, but no maintenance or service-contract evidence at all on their own site and size sits at the floor",2002,"Shawn Konya, President & COO | Member-Manager; Ian Lunden, Member-Manager; Morgan Batton, VP Engineering | Member-Manager (https://monvalleyintegration.com/about/team/). James Lunden was named ""Member/Manager"" in a 2016 company press releas","independent private — member-managed LLC, three named member-managers, no outside investor named on site or in search",Medium,ElecInfra + FromPete,3681527.0,"""Electrical systems integration, power line design, and custom control panels"" for mining, water treatment and natural gas; design/panel-build led, no maintenan"
"Mountain Power Electrical Contractor, INC.",http://mtnpower.com,Tucson,Arizona,T5,1 Core,P3,Batch 2,305.0,Verified,Mixed,Mixed,Strong,37.0,1985.0,Private,,"confirmed — 1985 founding and MV/traffic-signal/substation scope hold up, but reading their own site turns up zero service, maintenance or emergency-dispatch language and an explicitly Bid/Build-CMR-Design/Build new-construction book; this ",1985 — CONFIRMS the Inven figure,"[unknown] — no owner, president or officer is named anywhere on mtnpower.com (homepage, About, Employment, Contact/Preconstruction and News pages all checked); the News page returns ""Nothing Found""","independent private (INFERRED) — no parent, affiliate, family-of-companies or PE language anywhere on the domain, and no ownership event surfaced in search; ownership NOT positively confirmed because no owner is named on the site",Medium,ElecInfra + FromPete,1221699.0,"""Installation and renovation of electrical systems"" for government, education and healthcare in Tucson since 1985; 37 employees but no service base named."
"Pacific Electrical Contractors, Inc.",http://pacificelectrical.com,Medford,,T5,1 Core,P3,Batch 2,306.0,Verified,Mixed,Mixed,Strong,34.0,,Family Owned,,"confirmed (P3) — 66 years and independent, but the site shows a construction-led general electrical book with residential, solar and data-cabling dilution and no maintenance-contract, testing or MV evidence",1960,"[unknown] — https://www.pacificelectrical.com/our-team names no individuals at all (describes the team as ""well-trained and highly motivated"", lists two Southern Oregon offices, no names, no titles)","independent private; own site says ""Started as a small family business in 1960"" — family origin confirmed, current ownership [unknown]",Medium,FromPete,904889.0,"""Installation, maintenance, and energy management systems"" for healthcare, education and commercial in the Pacific Northwest; 34 staff, no MV or industrial load"
RSC Electrical & Mechanical Contractor's Inc.,http://rsccompany.com,Washington,District of Columbia,T5,1 Core,P3,Batch 2,307.0,Verified,Mixed,Mixed,Strong,36.0,,Family Owned,,"confirmed — the model is the best thing here (second-generation family, 24/7/365 dispatch, a real preventative-maintenance programme, GSA and MDOT), but the asset base is building MEP with LV controls rather than substations and MV power sy",1970,"Johnathan L. Bolden, President (since 1990); Jeffrey T. Bolden, Vice President (since 1988); Anita E. Bolden-Monroe, Corporate Secretary (since 1992). Founder Henry B. Bolden, Jr. is retired (https://rsccompany.com/principals/). Second-gene","family owned, independent — ""family owned, locally operated"", ""A family business since 1970"" (https://rsccompany.com/principals/). CONFIRMS ownership_inven ""Family Owned"".",Medium,ElecInfra + FromPete,4299688.0,"Electrical, mechanical and plumbing for DC commercial and government clients with preventative maintenance and 24/7 service; MEP building work, no MV or high-lo"
Sadler Electric Inc,http://sadlerelectricinc.com,Omaha,,S8,2 Secondary,P3,Batch 2,308.0,Verified,Strong,Weak,Strong,21.0,1981.0,Private,,"confirmed - right secondary-band trade and a genuine qualification barrier (only Level III IMSA techs in the area), but zero maintenance-contract evidence on their own site and size sits on the floor",1981,Brian Sadler - named as the principal in customer testimonials on https://sadlerelectric.com/ ; exact title not stated on either site,"independent private - no parent, affiliate, franchise or 'family of companies' language on either domain",Medium,S1-S6 relevant (S4),3704543.0,"Traffic signals, street lighting and ITS plus commercial/industrial installations since 1981; 21 staff, but installation- and 'infrastructure projects'-weighted"
Sharlen Electric Company,http://sharlen.com,Chicago,,T5,1 Core,P3,Batch 2,309.0,Verified,Mixed,Mixed,Strong,42.0,,Family Owned,,"confirmed (P3), with founding year now established at 1992 — arc flash, thermal scanning and power quality plus blue-chip institutional customers are real, but the service/maintenance offer is unwritten placeholder text, the portfolio is pr",1992,"Bill Cullen, founder (https://www.sharlen.com/about/). Site describes it as ""a third-generation company"" and a customer testimonial references ""the Cullen family"" — family-run, but the current president/owner is not named anywhere on the si","family owned, independent — Cullen family, no parent or sponsor",Medium,FromPete,695123.0,"""Electrical contracting, underground utilities, and telecommunications"" for Chicago commercial and industrial clients; ""new construction, maintenance, and emerg"
Shelley Electric,http://shelleyelectric.com,Richmond,Indiana,T5,1 Core,P3,Batch 2,310.0,Verified,Mixed,Mixed,Strong,23.0,,Family Owned,,"confirmed at P3, WITH A DATA CORRECTION: the record has this company in Richmond, Indiana. Its own site says Kansas — 'throughout Kansas and the surrounding states', the site title reads 'Shelley Electric - Wichita', and the chamber listing","[unknown] exact year — 'For over a century Shelley Electric has been turning on the power throughout Kansas and the surrounding states' (https://www.shelleyelectric.com/), so 100+ years and the 10+ year test is comfortably met","[unknown]. The Emporia Area Chamber of Commerce directory lists the contact as 'Tom Coble' with no title (https://members.emporiakschamber.org/directory/Details/shelley-electric-inc-1399680) — third-party chamber listing, LOW-MEDIUM CONFIDE","independent private (inferred: own domain, no parent/affiliate/PE language). Inven's 'Family Owned' tag could NOT be confirmed — no family or generational language appears on the company's own pages.",Low,ElecInfra,413286.0,"'Design and construction of electrical systems' with project management for healthcare, education and government; construction-led despite 24/7 support; 23 empl"
Southwestern Electrical Co. Inc.,http://sw-electric.com,Wichita,,T5,1 Core,P3,Batch 2,311.0,Verified,Mixed,Mixed,Strong,25.0,,Family Owned,,"lowered - ownership is an ESOP rather than the family ownership the record claimed, the service book sits alongside a design-build construction business and a large low-voltage/fire-alarm/telecom division, and a general contractor is named ",1908,"Richard Drake, President (since 2011); Shaane Park, Sr. Vice President; Angela Broadrick, CFO/Secretary Treasurer; Brooks Innes, Vice President (https://sw-electric.com/about-us/). The history page shows a long succession of non-family pres","employee-owned / ESOP (CONFIRMED in part) - their own careers page lists 'Employee Stock Ownership Plan (ESOP)' as a benefit for office employees (https://sw-electric.com/careers/), and the Certified EO directory lists them as 'Employee-Own",Medium,FromPete,24550704.0,"Electrical and telecommunications for education, energy and healthcare ""from design-build to service contracts""; established 1908, family owned, 25 staff."
Western Mountain INC,http://westernmountaininc.com,Wheeling,West Virginia,T4,1 Core,P3,Batch 2,312.0,Verified,Mixed,Mixed,Mixed,21.0,2003.0,Private,,"confirmed — right-adjacent trade (industrial power, power distribution, utility maintenance) but no model evidence of any kind, no named ownership, and a size read at the floor. Also correcting the record: this is not a Wheeling WV company.",2003,"[unknown] — no owner, principal, founder or executive is named anywhere on the site (checked home, /about, contact). No leadership page exists.","[unknown] — presumed independent private (no investor, parent or affiliate named on site), but with no named ownership this is INFERRED from absence, not confirmed",Low,ElecInfra,1259120.0,"""Construction, maintenance, and consultation"" for oil and gas, industrial and utility clients since 2003, 21 employees; electrical content of work unclear."
